179		       		179				179				179
  69.00      0.8279    	    69.00      0.8719    	   69.00      0.4564    	   69.00      0.8999    
  70.00      0.8254    	    70.00      0.7965    	   70.00      0.4177    	   70.00      0.8902    
  71.00      0.8177    	    71.00      0.7292    	   71.00      0.3835    	   71.00      0.8796    
  72.00      0.8038    	    72.00      0.6710    	   72.00      0.3542    	   72.00      0.8674    
  73.00      0.7837    	    73.00      0.6226    	   73.00      0.3300    	   73.00      0.8528    
  74.00      0.7574    	    74.00      0.5843    	   74.00      0.3110    	   74.00      0.8352    
  75.00      0.7254    	    75.00      0.5558    	   75.00      0.2968    	   75.00      0.8140    
  76.00      0.6884    	    76.00      0.5365    	   76.00      0.2870    	   76.00      0.7889    
  77.00      0.6476    	    77.00      0.5254    	   77.00      0.2810    	   77.00      0.7598    
  78.00      0.6041    	    78.00      0.5212    	   78.00      0.2783    	   78.00      0.7266    
  79.00      0.5591    	    79.00      0.5224    	   79.00      0.2780    	   79.00      0.6898    
  80.00      0.5138    	    80.00      0.5275    	   80.00      0.2796    	   80.00      0.6500    
  81.00      0.4695    	    81.00      0.5349    	   81.00      0.2824    	   81.00      0.6080    
  82.00      0.4270    	    82.00      0.5432    	   82.00      0.2858    	   82.00      0.5649    
  83.00      0.3872    	    83.00      0.5512    	   83.00      0.2894    	   83.00      0.5217    
  84.00      0.3508    	    84.00      0.5577    	   84.00      0.2925    	   84.00      0.4794    
  85.00      0.3183    	    85.00      0.5620    	   85.00      0.2948    	   85.00      0.4391    
  86.00      0.2899    	    86.00      0.5633    	   86.00      0.2959    	   86.00      0.4016    
  87.00      0.2659    	    87.00      0.5612    	   87.00      0.2956    	   87.00      0.3675    
  88.00      0.2463    	    88.00      0.5554    	   88.00      0.2936    	   88.00      0.3372    
  89.00      0.2310    	    89.00      0.5459    	   89.00      0.2896    	   89.00      0.3110    
  90.00      0.2197    	    90.00      0.5325    	   90.00      0.2838    	   90.00      0.2890    
  91.00      0.2122    	    91.00      0.5156    	   91.00      0.2759    	   91.00      0.2709    
  92.00      0.2081    	    92.00      0.4954    	   92.00      0.2663    	   92.00      0.2567    
  93.00      0.2068    	    93.00      0.4721    	   93.00      0.2549    	   93.00      0.2459    
  94.00      0.2080    	    94.00      0.4463    	   94.00      0.2422    	   94.00      0.2384    
  95.00      0.2109    	    95.00      0.4184    	   95.00      0.2282    	   95.00      0.2338    
  96.00      0.2150    	    96.00      0.3891    	   96.00      0.2135    	   96.00      0.2316    
  97.00      0.2196    	    97.00      0.3590    	   97.00      0.1983    	   97.00      0.2315    
  98.00      0.2244    	    98.00      0.3286    	   98.00      0.1829    	   98.00      0.2331    
  99.00      0.2287    	    99.00      0.2988    	   99.00      0.1678    	   99.00      0.2360    
  100.0      0.2320    	    100.0      0.2702    	   100.0      0.1531    	   100.0      0.2397    
  101.0      0.2342    	    101.0      0.2434    	   101.0      0.1392    	   101.0      0.2438    
  102.0      0.2349    	    102.0      0.2189    	   102.0      0.1262    	   102.0      0.2478    
  103.0      0.2339    	    103.0      0.1971    	   103.0      0.1144    	   103.0      0.2512    
  104.0      0.2312    	    104.0      0.1784    	   104.0      0.1039    	   104.0      0.2535    
  105.0      0.2268    	    105.0      0.1629    	   105.0      0.9482E-01	   105.0      0.2545    
  106.0      0.2206    	    106.0      0.1508    	   106.0      0.8717E-01	   106.0      0.2537    
  107.0      0.2128    	    107.0      0.1419    	   107.0      0.8101E-01	   107.0      0.2509    
  108.0      0.2036    	    108.0      0.1361    	   108.0      0.7634E-01	   108.0      0.2460    
  109.0      0.1932    	    109.0      0.1330    	   109.0      0.7312E-01	   109.0      0.2391    
  110.0      0.1817    	    110.0      0.1324    	   110.0      0.7129E-01	   110.0      0.2303    
